用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
取名字令人头秃2021,保密,男学生根本就闹不了这么大。去年的快递小哥在热搜上有待一天吗？,都是克莉丝的错,二级评论,3,1,2024-11-08 15:54:25
雷鳴弐ノ陣,保密,自己没上过大学的小太妹听见有人说中专生跟清华平起平坐就开始思想高潮了，现在即使已经被证明了是一条路边的野狗也仍然想冲别人再叫两声装作自己能听懂人话,,一级评论,4,18,2024-11-05 11:07:17
bili_3546678258829886,保密,"符合性别劣根性刻板印象，诬告技能刻在基因里。
1.北師大♀️生禁止♂️生坐電梯事件
2.華東理工偷耳機事件
3.天津大學扣飯姐事件
4.川大張薇（雙一留）
5.川大未征求♂️同學意見將部分樓層所有♂️廁改為♀️廁
6.清華學姐誣告學弟事件
7.北京政法職業學院三女校園霸淩事件（挺身而出的♂️生已退學）
8.廣東醫科大學割頸事件
9.浙江師範大學行知學院♀️生軍訓潑化學品至致♂️生燒傷事件
10.廈門市松柏中學♀️生潑♂️生熱水致毀容事件
11.上海徐匯中學軍訓♀️「偷拍」♂️生洗澡事件
12.西安工業大學，剪秋褲事件
13.江西工業職業技術學院，咕咕鳥紙巾事件
14.電子科技大學班群通知事件
15.西南科技大學餛飩攤事件
16.西北政法大學作弊姐事件
17.上海視覺藝術學院五女圍毆一男事件
18.武漢大學圖書舘誣陷性騷擾事件
19.三峽大學三八沁苑展板事件
20.西安交通大学不让男生走楼梯事件

成都地铁污蔑案，张威污蔑民工，弦子诬陷朱军、韩婷婷(李星星)诬陷鲍毓明、马金瑜诬陷扎西、苟晶、梁颖诬陷罗冠军、阿里女员工、货拉拉司机、清华美院学姐、西安电子科技大学女生毕业设计舞弊且敲诈勒索案、天津大学脑袋扣饭，霍尊陈露案，王力宏李靓蕾案、董洁潘粤明、何洁郝子铭、姚晨凌潇肃、汪康夫案、小慧君案、林心如周杰、蛋糕老板被诬陷、涂磊案、马蓉王宝强案",,一级评论,4,40,2024-11-04 19:59:13
Hastolat,女,别的确实，但鲍毓明那个不是吧…,bili_3546678258829886,二级评论,3,1,2024-11-05 10:46:34
飨鬼将夜啼,保密,你的脑子也就装得下男女对立了。回你我都嫌浪费时间,bili_3546678258829886,二级评论,5,0,2024-11-05 12:56:08
黎洛心哦,男,回复 @飨鬼将夜啼 :把你们做的一五一十的说出来就是对立?😂,bili_3546678258829886,二级评论,6,3,2024-11-05 19:52:10
账号已注销,保密,回复 @飨鬼将夜啼 :那咋了,bili_3546678258829886,二级评论,0,0,2024-11-06 16:01:21
账号已注销,保密,回复 @黎洛心哦 :看他动态，练桐,bili_3546678258829886,二级评论,0,1,2024-11-06 16:01:55
Transylvaniaball,保密,"练得 Σ 形似 2 形，千株松下六函经。
我来问姜无馀说，云在青天水在萍。",,一级评论,6,25,2024-11-04 13:10:29
以此纪念我丢失的号,保密,天才,Transylvaniaball,二级评论,4,0,2024-12-02 17:46:08
lspt-丶,保密,很多地方还是能看到给姜萍洗的人，但讲真，姜萍和王润秋的问题并不是最大的，我也不关心这俩人，不要被误导了，人家的问题是作弊，该咋样咋样呗，真正最该被清算的是媒体和那些挺姜萍的人，那些才是最有问题的人，还有那些借此打拳的，这里面没有境外势力的参与？,,一级评论,5,17,2024-11-05 02:18:07
脸被卸载了,保密,还有阿里，当时还想靠这个把姜萍送进浙大，实际上就是想开后门,lspt-丶,二级评论,5,3,2024-11-05 13:27:56
五维空间的生命,保密,当初报道的时候演的倒挺像的。我数学系就看不惯靠作弊的假天才，还扯什么境外势力，就自己作弊不承认还有什么好说的,lspt-丶,二级评论,3,1,2024-11-06 09:09:48
蓝色木耳,保密,什么都甩锅境外势力，你是真傻还是假傻,lspt-丶,二级评论,5,0,2024-12-12 11:22:24
七濑的先生,保密,其实如果是一个数学水平可以的高三学生，熬夜暴力补习4个多月高数不学别的，还真能糊弄过去，可惜机会没把握住。,,一级评论,4,13,2024-11-05 16:25:26
沟子大王,保密,你对竞赛没有概念[辣眼睛]，对中专学生也没有概念,七濑的先生,二级评论,5,12,2024-11-09 12:14:15
七濑的先生,保密,回复 @沟子大王 :不用学到竞赛水平，主＝6的水平，都能拖4 5个月。他只要学个年能侃侃而谈就有了，能说两句，然后一让做题就说最近再弄中专其他科目，数学没怎么复习，边混边学，开播带货，混个几年没有。哪怕最后路线，也捞到了,七濑的先生,二级评论,4,10,2024-11-09 18:44:20
惯新陈,男,回复 @沟子大王 :阿里竞赛是独一无二的线上竞赛，任何学生只要有一点指导和帮助都可以考好的[脱单doge],七濑的先生,二级评论,5,1,2024-12-12 14:28:25
lspt-丶,保密,女孩会演戏绝对是真的，绝对是天才,,一级评论,5,15,2024-11-05 15:56:31
面粉馅大包子,保密,她是不是还是个装机天才,,一级评论,6,2,2024-11-05 14:51:31
bili_40707047561,保密,那些人可能根本就不知道，她压根就是只借个账号，接受一个采访而已，她懂个毛线数学,,一级评论,3,2,2024-11-05 13:00:31
糖果公主゚,保密,"不是都哪里来的
消息说她参加了决赛？",,一级评论,5,2,2024-11-05 10:56:14
痛打流氓兔,男,"从采访完回来的姜萍同学，全然不顾身体的疲惫，连夜拉着我们中专的老师学生讨论偏微分方程的事宜。谈得晚了，便送我们回宿舍，让我们回寝室休息。再去教室的路上，我们说：“姜萍同学，您回去休息吧。您刚接受完采访。”
姜萍说：“不碍事。你们知道，现在学界很多人把我当作靠他人指点的作弊者，不断质疑要我自证实力。你们是反应试教育的未来，你们的事就是中专生和大专生的事情，是头等大事。”
我们都激动了，眼里裹着泪花。多有松弛感的同学呀！
姜萍同学看着天空，说：“如果学界能像这片天空一样干净就好了！但是就有一些人，比如北大清华的一些教授，还有许多985的学生，要搞乱这学界。他们是罪人”说着，姜萍同学便拿着粉笔，在黑板上开始板书。不一会儿，就看到黑板上出现了如“Σ=1/2”“pi*z=pi^z”“主=6”的式子。
“这是我提出并证明的恒等式，学界一直没有对此重视，我已经忍学界很久了。”姜萍同学愤愤的说。我们都鼓起掌来，为我国有这样的学生而自豪。
一会儿姜萍同学叫来了王润秋老师，问：“那个宣传视频过审了吗？”“已经公开了。好像引起了网络上的轰动。”老师回答说。姜萍同学一怔，说：“赶紧去看网络，看有没有什么负面评价。”
之后，姜萍同学送我们回到了宿舍，一直挥手直到看不见我们。
过了几天，我们听说姜萍同学的宣传视频出事了，我们很紧张。这时候姜萍同学叫我们过去。她依旧那样和蔼，让我们坐下，说：“我的几个恒等式是精妙无比的，为之付出是伟大的。”她这是低下头说：“但我必须承认，我在宣传视频里的板书太鲁莽了。我在这儿像全校师生道歉，我将向全涟水县说明情况。”
我们顿时热泪盈眶。多好的同学啊！她在和黑子们斗争的过程中犯下的一点小失误，竟然被她记在心里，还道了歉。我们在将来的学习中，一定要向姜萍同学学习，学她那对学问的刻苦追求与不耻下问的精神。",,一级评论,6,2,2024-11-05 10:37:22
尖啸曼德拉,保密,忠诚！,痛打流氓兔,二级评论,5,0,2024-11-05 14:30:48
闲味花生,男,"姜军        姜军
✋😭✋  ✋😭✋",痛打流氓兔,二级评论,5,0,2024-11-08 13:30:08
谁开破帝豪啊拉级车,保密,有个畜牲UP半耳聆，之前姜平火了蹭热度带别人节奏，现在人家公布结果了，确实作弊了，屁都不敢说一个，还删视频,,一级评论,5,19,2024-11-04 12:35:06
凤雏有点累,保密,你在说什么？[笑],谁开破帝豪啊拉级车,二级评论,2,1,2024-11-04 12:40:30
可可鸡鸡,保密,回复 @凤雏有点累 :一个♀拳博主,谁开破帝豪啊拉级车,二级评论,3,4,2024-11-04 14:56:09
黄字第一号成是非,男,不止她一个，打脸的有很多，全部都把视频删了，[吃瓜][吃瓜][吃瓜],谁开破帝豪啊拉级车,二级评论,5,0,2024-11-15 08:23:50
但博奇是一世的,男,"从采访完回来的姜萍同学，全然不顾身体的疲惫，连夜拉着我们中专的老师学生讨论偏微分方程的事宜。谈得晚了，便送我们回宿舍，让我们回寝室休息。再去教室的路上，我们说：“姜萍同学，您回去休息吧。您刚接受完采访。”
姜萍说：“不碍事。你们知道，现在学界很多人把我当作靠他人指点的作弊者，不断质疑要我自证实力。你们是反应试教育的未来，你们的事就是中专生和大专生的事情，是头等大事。”
我们都激动了，眼里裹着泪花。多有松弛感的同学呀！
姜萍同学看着天空，说：“如果学界能像这片天空一样干净就好了！但是就有一些人，比如北大清华的一些教授，还有许多985的学生，要搞乱这学界。他们是罪人”说着，姜萍同学便拿着粉笔，在黑板上开始板书。不一会儿，就看到黑板上出现了如“Σ=1/2”“pi*z=pi^z”“主=6”的式子。
“这是我提出并证明的恒等式，学界一直没有对此重视，我已经忍学界很久了。”姜萍同学愤愤的说。我们都鼓起掌来，为我国有这样的学生而自豪。
一会儿姜萍同学叫来了王润秋老师，问：“那个宣传视频过审了吗？”“已经公开了。好像引起了网络上的轰动。”老师回答说。姜萍同学一怔，说：“赶紧去看网络，看有没有什么负面评价。”
之后，姜萍同学送我们回到了宿舍，一直挥手直到看不见我们。
过了几天，我们听说姜萍同学的宣传视频出事了，我们很紧张。这时候姜萍同学叫我们过去。她依旧那样和蔼，让我们坐下，说：“我的几个恒等式是精妙无比的，为之付出是伟大的。”她这是低下头说：“但我必须承认，我在宣传视频里的板书太鲁莽了。我在这儿像全校师生道歉，我将向全涟水县说明情况。”
我们顿时热泪盈眶。多好的同学啊！她在和黑子们斗争的过程中犯下的一点小失误，竟然被她记在心里，还道了歉。我们在将来的学习中，一定要向姜萍同学学习，学她那对学问的刻苦追求与不耻下问的精神。",,一级评论,5,2,2024-11-05 12:28:40
真理在轰炸机范围之内,保密,她们这样我只能说985211的女性不如姜萍了[喜极而泣],,一级评论,5,14,2024-11-05 11:10:26
我怎么还在,男,cmg团建BV1hypgeAErX,,一级评论,5,12,2024-11-05 15:20:42
bensololuke,保密,经典《不好的评论我会删》,我怎么还在,二级评论,6,5,2024-11-05 15:28:47
迷迷牛湖,保密,这种还看什么呢,我怎么还在,二级评论,4,0,2024-11-15 11:17:55
里奥呦西-梅西,保密,成绩好能上中专[笑哭]侮辱人智商了,,一级评论,5,3,2024-11-05 16:15:47
更昊叁,保密,这在老早以前确实是[笑哭]以前中专大专职业技能学好包分配到单位去，学好技能直接就是铁饭碗，薪水有的比公务员还高,里奥呦西-梅西,二级评论,5,2,2024-11-05 23:06:41
更昊叁,保密,但是现在国家高质量发展了，要更高精尖的知识分子,里奥呦西-梅西,二级评论,5,1,2024-11-05 23:07:18
晩松,保密,事实证明，九年义务教育的普及力度还不够,,一级评论,6,7,2024-11-05 16:08:06
历史最强球王恩佐,保密,难道就因为她是女生所以就否定她的数学成就?,,一级评论,3,3,2024-11-05 11:15:11
千酒杯,保密,cmg,历史最强球王恩佐,二级评论,5,4,2024-11-05 11:36:24
阳光开朗老毕登,保密,真不是串？？！[疑惑],历史最强球王恩佐,二级评论,4,1,2024-11-05 15:34:11
账号已注销,保密,那咋了,历史最强球王恩佐,二级评论,0,0,2024-11-06 16:04:03
Peroxyethylether,保密,串？,历史最强球王恩佐,二级评论,4,0,2024-11-27 22:37:13
明楚心,保密,不需要她能解出一题，只要她能读出任何一道题的题目我就承认她是个天才。初中学渣根本就不可能认识大学高数的那些个符号！！！！！！,,一级评论,6,7,2024-11-04 13:07:21
最强脂肪体Panda,保密,集美作弊，怎么能叫作弊呢？那叫行为不规范！,,一级评论,6,4,2024-11-04 20:05:42
音冰羽,男,"除了她，谁来保证剩下的人都没有讨论？
该拍死的起码还要有阿里。
能查她是因为引起了公众关注，那么那些没引起公众关注的人里面是否也有类似的行为？",最强脂肪体Panda,二级评论,6,0,2024-11-05 12:06:35
