用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
南之鸽,男,回复 @爱吃小浣熊的干脆面君 :她写的诗还真有好的一些，写的那几首估计是打油诗,细雨中前行,二级评论,5,5,2024-11-25 19:54:51
bili_37105261,男,早就有了，一帮大专生打着“刘慈欣”的名号四处碰瓷其它泛科幻作品，然后自己写出一坨又一坨……嗯……姑且称之为“作品”的……嗯……东西，并自我感觉良好。,细雨中前行,二级评论,5,7,2024-11-28 00:43:07
blodeshilking,保密,回复 @u望之不似人君 :韩寒不是早就造成功了？,细雨中前行,二级评论,5,2,2024-11-29 16:41:52
我与同班与青梅竹马与妹妹,男,回复 @无限剑制work :韩寒不是玩赛车的吗,细雨中前行,二级评论,6,3,2024-11-30 17:14:39
灼热锝燃,男,回复 @无限剑制work : 打了这么多年还没把韩寒打臭已经说明问题了 全中国起码50%的人希望韩寒是造神造出来的,细雨中前行,二级评论,6,2,2024-12-01 14:31:32
无限剑制work,保密,回复 @灼热锝燃 :全中国百分之五十说不上，大部分人根本不知道韩寒有这么一档事，只是有一定了解过后认为韩寒是造假的的人占了解过这件事的人的百分之五十吧,细雨中前行,二级评论,2,5,2024-12-01 16:17:19
忆雨Official,保密,和数学恶魔签订了契约，发动能力需要一定的代价,,一级评论,6,241,2024-11-12 06:54:15
鸽子z_,保密,代价是自己的户口本吗[笑哭],忆雨Official,二级评论,5,30,2024-11-13 23:01:52
玄冰若菱,女,李易？,忆雨Official,二级评论,4,1,2024-11-23 15:07:12
听说很长-人生路,男,那我们就化身电锯恶魔[doge],忆雨Official,二级评论,6,0,2024-11-30 11:29:44
-大雪无痕-,保密,难怪不做普通的题目，只能在数学竞赛做题,忆雨Official,二级评论,5,1,2024-12-01 02:28:34
爲誰執燈,保密,代价是获得战术轻量化单页户口本,忆雨Official,二级评论,4,0,2024-12-08 08:33:39
安静的夼凯阚,保密,面试时被问到不会的胡编乱造的你:,,一级评论,5,182,2024-11-14 11:04:38
XiJet小军,保密,至少比我写的语文作文强[笑哭]自愧不如,安静的夼凯阚,二级评论,5,2,2024-11-17 10:19:41
giodwind,男,普通话考试时的我belike:,安静的夼凯阚,二级评论,5,1,2024-11-24 21:18:52
视觉程序猿,男,没有做的代价，终于找到原版了。。。。。。。。。。。。说话磕磕绊绊,,一级评论,5,149,2024-11-04 18:21:29
素还真11111,保密,代价 哈哈  这语文水平也是符合中专妹,视觉程序猿,二级评论,5,27,2024-11-05 21:24:47
落叶的日子,保密,背的，可能校方让干的,视觉程序猿,二级评论,6,3,2024-11-09 01:13:30
采菊的劳拉,保密,陈景润也不是语言高手,视觉程序猿,二级评论,3,0,2024-11-10 21:13:40
视觉程序猿,男,回复 @采菊的劳拉 :你也行应该知道不是语言高手和语言弱智的区别。还有陈景润是数学大家，junmping 语言数学都弱智。无知者无畏。,视觉程序猿,二级评论,5,7,2024-11-10 22:32:25
